features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,6,Inf,Inf,6
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,1,4,6,0,4,6
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,8,Inf,Inf,8
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,8,Inf,Inf,8
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
crazyike,Inf,Inf,8,Inf,Inf,8
crazyike,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,3,Inf,Inf,3
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,6,Inf,3,6
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,Inf,4,8,Inf,4,8
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,2,4,2,0,4,2
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,2,Inf,Inf,2
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,2,4,Inf,2,4
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,5,Inf,3,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,5,Inf,3,5
JacksonGuitarguy,1,3,5,0,3,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,4,Inf,Inf,4
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,6,Inf,3,6
JacksonGuitarguy,2,5,6,0,5,6
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,Inf,Inf,7,Inf,Inf,7
JacksonGuitarguy,1,4,6,0,4,6
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
kvltwarrior98,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,4,Inf,Inf,4
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,9,Inf,Inf,9
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,2,4,2,0,4,2
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,2,4,Inf,2,4
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,5,9,Inf,5,9
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,7,Inf,Inf,7
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,2,3,8,0,3,8
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
FearDaNeard,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
Stolichnayaaa,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
dokkou,Inf,Inf,Inf,Inf,Inf,Inf
dokkou,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,4,Inf,Inf,4
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,1,2,0,1,2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,1,1,0,1,1
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,2,4,Inf,2,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,2,1,0,2,1
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,3,3,Inf,3,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,3,1,Inf,3,1
Dexaan,2,2,1,0,2,1
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,1,2,Inf,1,2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,2,1,Inf,2,1
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,Inf,Inf,3,Inf,Inf,3
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,Inf,Inf,Inf,Inf
Heliocentrist,Inf,Inf,5,Inf,Inf,5
Heliocentrist,Inf,Inf,4,Inf,Inf,4
cunninglinguist81,Inf,Inf,Inf,Inf,Inf,Inf
cunninglinguist81,Inf,Inf,Inf,Inf,Inf,Inf
cunninglinguist81,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,2,3,Inf,2,3
FearLeadsToAnger,Inf,2,2,Inf,2,2
Asphyxiatinglaughter,Inf,Inf,2,Inf,Inf,2
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,2,4,Inf,2,4
Asphyxiatinglaughter,Inf,1,3,Inf,1,3
Asphyxiatinglaughter,1,1,3,0,1,3
Asphyxiatinglaughter,Inf,Inf,2,Inf,Inf,2
Asphyxiatinglaughter,1,1,1,0,1,1
Asphyxiatinglaughter,Inf,Inf,3,Inf,Inf,3
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,1,2,1,0,2,1
Asphyxiatinglaughter,Inf,Inf,1,Inf,Inf,1
Asphyxiatinglaughter,Inf,Inf,2,Inf,Inf,2
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,1,3,Inf,1,3
Asphyxiatinglaughter,Inf,2,2,Inf,2,2
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,3,Inf,Inf,3
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,2,2,2,0,2,2
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,1,3,Inf,1,3
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
componentfield,Inf,Inf,Inf,Inf,Inf,Inf
componentfield,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
Tnargkiller,Inf,Inf,Inf,Inf,Inf,Inf
screenwblues,Inf,Inf,Inf,Inf,Inf,Inf
screenwblues,Inf,Inf,8,Inf,Inf,8
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,5,Inf,Inf,5
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,1,Inf,3,1
PhysicianDre,Inf,Inf,5,Inf,Inf,5
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,4,5,Inf,4,5
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,3,4,Inf,3,4
PhysicianDre,Inf,1,1,Inf,1,1
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,2,4,6,0,4,6
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,2,5,Inf,2,5
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,2,4,Inf,2,4
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
Afasso,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,2,3,Inf,2,3
RedneckAvengers,Inf,Inf,4,Inf,Inf,4
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,5,Inf,Inf,5
WadeK,2,2,4,0,2,4
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
150c_vapour,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
150c_vapour,Inf,1,2,Inf,1,2
RedneckAvengers,Inf,Inf,5,Inf,Inf,5
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,4,8,Inf,4,8
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,2,Inf,Inf,2
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,4,Inf,Inf,4
Hcysntmf,Inf,4,2,Inf,4,2
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,3,Inf,Inf,3
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,1,4,Inf,1,4
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,4,Inf,Inf,4
Hcysntmf,Inf,3,1,Inf,3,1
Hcysntmf,2,3,5,0,3,5
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,5,Inf,Inf,5
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,4,8,Inf,4,8
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,5,9,Inf,5,9
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
JimmyHoffa1,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
Beebeeb,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
Stolichnayaaa,Inf,Inf,Inf,Inf,Inf,Inf
Stolichnayaaa,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,Inf,Inf,Inf,Inf,Inf
headfullofmangos,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,Inf,Inf,Inf,Inf
__worldpeace,Inf,Inf,8,Inf,Inf,8
dokkou,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,5,Inf,3,5
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,1,1,Inf,1,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,2,5,0,2,5
RonaId_Trump,Inf,5,1,Inf,5,1
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,3,5,Inf,3,5
RonaId_Trump,2,1,1,0,1,1
RonaId_Trump,Inf,3,1,Inf,3,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,7,Inf,Inf,7
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,2,Inf,Inf,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,7,Inf,3,7
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,4,Inf,3,4
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,1,2,5,0,2,5
RonaId_Trump,Inf,4,6,Inf,4,6
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,3,1,0,3,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,6,Inf,Inf,6
RonaId_Trump,Inf,Inf,1,Inf,Inf,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,1,Inf,Inf,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,2,Inf,3,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,1,3,Inf,1,3
RonaId_Trump,Inf,1,1,Inf,1,1
RonaId_Trump,Inf,Inf,5,Inf,Inf,5
RonaId_Trump,Inf,1,1,Inf,1,1
RonaId_Trump,2,4,6,0,4,6
RonaId_Trump,1,1,1,0,1,1
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,3,2,Inf,3,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,1,1,2,0,1,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,2,5,Inf,2,5
RonaId_Trump,Inf,Inf,7,Inf,Inf,7
RonaId_Trump,Inf,Inf,2,Inf,Inf,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,4,Inf,Inf,4
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,2,1,2,0,1,2
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
RonaId_Trump,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,1,2,4,0,2,4
Dexaan,Inf,2,2,Inf,2,2
Dexaan,Inf,Inf,2,Inf,Inf,2
Dexaan,1,1,3,0,1,3
Dexaan,Inf,3,3,Inf,3,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,1,Inf,Inf,1
Dexaan,Inf,Inf,4,Inf,Inf,4
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,1,1,Inf,1,1
Dexaan,Inf,Inf,1,Inf,Inf,1
