features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-20_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2,nn-20_gt-2,nn-2_gt-3,nn-5_gt-3,nn-10_gt-3,nn-20_gt-3,nn-2_gt-4,nn-5_gt-4,nn-10_gt-4,nn-20_gt-4
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,6,4,0,NA,6,4,0,NA,6,4,0,0,6,4
kodefuguru,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
PhysicianDre,NA,NA,7,13,0,NA,7,13,0,NA,7,13,0,0,7,13
kodefuguru,2,1,2,4,0,1,2,4,0,1,2,4,0,0,2,4
kodefuguru,2,4,5,3,0,4,5,3,0,4,5,3,0,0,5,3
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,3,5,0,NA,3,5,0,NA,3,5,0,0,3,5
Beebeeb,NA,2,3,9,0,2,3,9,0,2,3,9,0,0,3,9
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
damnthatsfuckinggood,NA,1,4,7,0,1,4,7,0,1,4,7,0,0,4,7
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,2,1,2,0,2,1,2,0,2,1,2,0,0,1,2
Dexaan,NA,2,4,9,0,2,4,9,0,2,4,9,0,0,4,9
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,8,16,0,NA,8,16,0,NA,8,16,0,0,8,16
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,1,1,3,7,0,1,3,7,0,1,3,7,0,0,3,7
kodefuguru,NA,NA,5,11,0,NA,5,11,0,NA,5,11,0,0,5,11
InVultusSolis,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
headfullofmangos,NA,NA,5,8,0,NA,5,8,0,NA,5,8,0,0,5,8
JacksonGuitarguy,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,2,6,0,NA,2,6,0,NA,2,6,0,0,2,6
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
LouGossetJr,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,1,2,4,9,0,2,4,9,0,2,4,9,0,0,4,9
damnthatsfuckinggood,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
damnthatsfuckinggood,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
damnthatsfuckinggood,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
ShouldBeAnUpvoteGif,NA,5,7,11,0,5,7,11,0,5,7,11,0,0,7,11
woodukindly_bruh,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
woodukindly_bruh,2,4,3,1,0,4,3,1,0,4,3,1,0,0,3,1
rhackleford,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
componentfield,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,2,6,0,NA,2,6,0,NA,2,6,0,0,2,6
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
crazyike,NA,2,2,7,0,2,2,7,0,2,2,7,0,0,2,7
Asphyxiatinglaughter,1,1,2,8,0,1,2,8,0,1,2,8,0,0,2,8
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,8,14,0,NA,8,14,0,NA,8,14,0,0,8,14
PhysicianDre,NA,4,6,1,0,4,6,1,0,4,6,1,0,0,6,1
WadeK,NA,NA,8,12,0,NA,8,12,0,NA,8,12,0,0,8,12
JacksonGuitarguy,2,4,7,11,0,4,7,11,0,4,7,11,0,0,7,11
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
Dexaan,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
GalaxyDelta9,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,7,4,0,NA,7,4,0,NA,7,4,0,0,7,4
CannedBullet,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
RonaId_Trump,NA,4,7,13,0,4,7,13,0,4,7,13,0,0,7,13
RonaId_Trump,NA,NA,8,4,0,NA,8,4,0,NA,8,4,0,0,8,4
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
kodefuguru,NA,NA,8,11,0,NA,8,11,0,NA,8,11,0,0,8,11
kodefuguru,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,5,7,4,0,5,7,4,0,5,7,4,0,0,7,4
kodefuguru,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,6,9,0,NA,6,9,0,NA,6,9,0,0,6,9
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ShouldBeAnUpvoteGif,NA,3,7,11,0,3,7,11,0,3,7,11,0,0,7,11
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
xENO_,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
